fdc_id	g	ml	desc	comment
167891	 80.00	  0.00	chop, excluding refuse	yield from 1 raw chop, with refuse, weighing 113 g
167892	 75.00	  0.00	chop, excluding refuse	yield from 1 raw chop, with refuse, weighing 113 g
167893	 66.00	  0.00	chop, excluding refuse	yield from 1 raw chop, with refuse, weighing 113 g
167894	283.00	  0.00	piece, cooked, excluding refuse	yield from 1 lb raw meat with refuse
167895	128.00	  0.00	rib without refuse	Yield from 1 raw rib, with refuse, weighing 196g
167896	 86.00	  0.00	rib without refuse	Yield from 1 cooked rib, with refuse, weighing 140g
167897	138.00	  0.00	rack	
167898	 82.00	  0.00	chop, excluding refuse	yield from 1 raw chop, with refuse, weighing 113 g
167899	159.00	  0.00	chop	
167900	638.00	  0.00	roast	
167901	210.00	  0.00	chop	
167904	 76.00	  0.00	chop, excluding refuse	yield from 1 raw chop, with refuse, weighing 113 g
167905	402.00	  0.00	roast	
167906	261.00	  0.00	piece, cooked, excluding refuse	yield from 1 lb raw meat with refuse
167908	236.00	  0.00	piece, cooked, excluding refuse	yield from 1 lb raw meat with refuse
167909	 84.00	  0.00	serving	
167911	 56.00	  0.00	serving	
167912	150.00	  0.00	chop boneless	
167913	150.00	  0.00	chop boneless	yield from 189g raw meat
167914	  8.10	  0.00	slice cooked	
167915	 85.00	  0.00	3x serving	3 oz
167915	2970.00	  0.00	roast rump	
167917	3054.00	  0.00	roast shank	
167918	436.00	  0.00	slice	
167919	2673.00	  0.00	roast rump	
167920	 85.00	  0.00	serving	3 oz
167920	3170.00	  0.00	roast shank	
167921	 34.00	  0.00	biscuit	
167922	 59.00	  0.00	eclair, frozen	
167923	 43.00	  0.00	serving	
167924	 16.00	  0.00	serving	
167925	 39.00	  0.00	6x cracker 1 cracker = 6.5g	
167925	  6.50	  0.00	sandwich	
167926	 38.00	  0.00	pancake	
167926	144.00	  0.00	serving	3 pancakes
167927	 53.00	  0.00	piece	
167928	 51.00	  0.00	pastry	
167929	 71.00	  0.00	muffin small	
167930	198.00	  0.00	pie crust	
167931	202.00	  0.00	pie crust	average weight
167932	229.00	  0.00	pie crust	average weight
167933	 29.00	  0.00	serving	
167933	  4.20	  0.00	cracker	
167933	 29.00	  0.00	6x Triscuits, regular size	
167934	 29.00	  0.00	serving	
167934	  1.80	  0.00	cracker	
167934	 29.00	  0.00	16x crackers, Wheat Thins	
167935	 63.00	  0.00	slice	average weight of 1 slice
167936	 42.00	  0.00	piece	
167937	 39.00	  0.00	slice	
167937	311.00	  0.00	loaf	
167938	 42.00	  0.00	piece	1 serving
167939	 43.00	  0.00	slice presliced	
167939	 59.00	  0.00	slice	
167940	 65.00	  0.00	bun	
167941	 30.00	  0.00	serving	
167942	 14.00	  0.00	serving	
167943	 32.00	  0.00	slice	
167944	 48.00	  0.00	slice	
167945	 57.00	  0.00	piece	
167946	 35.00	  0.00	bar	
167947	 35.00	  0.00	bar	
167949	 28.35	  0.00	oz crunchy	about 21 pieces
167949	 28.35	  0.00	oz puffs	about 13 pieces
167950	 85.00	236.60		
167951	 28.00	  0.00	bar	1 oz
167952	 24.00	  0.00	bar	
167953	334.00	236.60		
167953	 84.00	 59.15		
167954	 28.00	  0.00	bar	1 oz
167955	 28.00	  0.00	bar	1 oz
167956	 34.00	 29.58		
167957	 20.00	  0.00	serving	
167959	  8.00	236.60		
167960	 11.00	236.60		
167962	198.00	  0.00	bag	7 oz
167963	198.00	  0.00	bag	7 oz
167964	 30.00	  0.00	10x pieces	
167966	  9.00	  0.00	cake	
167966	 18.00	  0.00	2x cakes	
167967	  9.00	  0.00	cake	
167967	 18.00	  0.00	2x cakes	
167968	140.00	236.60		
167969	146.00	236.60		
167970	227.00	  0.00	bag	8 oz
167971	 40.00	  0.00	serving 6 pieces	
167971	  6.60	  0.00	piece	
167972	 16.00	  0.00	3x pieces	
167973	 87.00	  0.00	bar	3 oz
167974	 71.00	  0.00	package	2.5 oz
167974	 10.10	  0.00	piece	
167975	 35.00	  0.00	bar 1.25 oz	
167975	 45.00	  0.00	bar 1.6 oz	
167975	 43.00	  0.00	6x blocks	
167976	 14.50	  0.00	serving	
167976	182.00	236.60	large chips	
167976	173.00	236.60	mini chips	
167976	168.00	236.60	chips	6 oz package
167977	 41.00	  0.00	bar	1.45 oz
167978	 43.00	  0.00	patty, large	
167978	 11.00	  0.00	patty, small	
167979	 41.00	  0.00	13x pieces	
167980	170.00	236.60	chips	
167981	 86.00	118.30		4 fl oz
167982	 43.00	  0.00	patty 1.5 oz	
167983	 40.00	  0.00	27x pieces	
167984	 42.00	  0.00	bar 1.5 oz	
167984	 68.00	  0.00	bar 2.4 oz	
167985	 56.00	  0.00	bar 2 oz	
167985	 16.00	  0.00	bar snack size	
167987	 17.00	  0.00	piece	
167989	182.00	236.60	gumdrops	
167989	 36.00	  0.00	10x gumdrops	
167989	 22.00	  0.00	10x gummy bears	
167989	 63.00	  0.00	10x gummy dinosaurs	
167989	 50.00	  0.00	10x gummy fish	
167989	 74.00	  0.00	10x gummy worms	
167989	  9.50	  0.00	spice stick	
167989	 24.00	  0.00	spice drop	
167989	  3.20	  0.00	gumdrop, small	1/2" dia
167989	  4.20	  0.00	gumdrop, medium	3/4" dia
167989	 11.60	  0.00	gumdrop, large	1" dia
167989	 10.00	  0.00	jelly ring	1-1/4" dia
167990	  6.00	  0.00	piece	
167990	  3.00	  0.00	piece, small	
167991	 11.00	  0.00	10x small	
167991	 28.00	  0.00	10x large	1 oz
167992	 42.00	  0.00	bar	1.5 oz
167992	 10.00	  0.00	bar, miniature	.35 oz
167992	 46.00	  0.00	bar	1.625 oz
167992	 78.00	  0.00	bar	2.8 oz
167992	 96.00	  0.00	bar	3.375 oz
167993	 41.00	  0.00	bar 1.45 oz	
167993	 56.00	  0.00	bar 2 oz	
167993	 37.00	  0.00	3x blocks	
167994	 50.00	  0.00	bar	1.76 oz
167995	 50.00	236.60	of miniature	
167995	  7.00	  0.00	10x miniatures	
167995	  7.20	  0.00	regular	
167997	 57.00	  0.00	bar 2 oz	
167997	 26.00	  0.00	serving fun size bar	
167998	142.00	118.30	From 19211	
167999	 20.00	  0.00	tablet	
168000	 37.00	  0.00	serving 2 TBSP	
168001	149.00	236.60		
168001	 40.00	  0.00	10x pieces	
168002	 30.00	  0.00	3x cookies	
168003	 23.00	  0.00	3x cookies	
168004	  7.40	  0.00	3x crackers	
168005	  5.20	  0.00	10x goldfish	
168006	  5.30	  0.00	10x goldfish	
168007	 44.00	  0.00	3x cookies	
168008	 78.00	  0.00	roll	
168010	 36.00	  0.00	roll	
168011	 47.00	  0.00	waffle	
168011	255.00	  0.00	box	
168012	  8.40	  0.00	3x crackers	
168013	 26.00	  0.00	slice regular	
168013	 41.00	  0.00	slice large	
168014	  4.90	  0.00	Arrowroot biscuit	include Arrowroot cookie
168014	  2.50	  0.00	cracker	
168014	 57.00	  0.00	individual box	2 oz
168041	197.00	  0.00	serving	
168042	308.00	  0.00	serving	
168043	411.00	  0.00	serving	
168044	303.00	  0.00	serving	
168062	301.00	  0.00	serving	
168063	283.00	  0.00	serving	
168063	253.00	236.60		
168064	461.00	  0.00	serving	
168064	146.00	236.60		
168065	590.00	  0.00	serving	
168065	157.00	236.60		
168066	653.00	  0.00	serving	
168066	115.00	236.60		
168067	142.00	  0.00	piece	
168068	246.00	236.60		
168069	200.00	236.60		
168070	 98.00	  0.00	piece	
168071	 70.00	  0.00	piece	
168072	574.00	  0.00	order	
168073	103.00	  0.00	serving	
168073	 36.00	  0.00	piece	
168074	149.00	  0.00	serving	
168075	178.00	  0.00	serving	
168075	124.00	  0.00	piece	
168076	228.00	  0.00	serving	
168076	 27.00	  0.00	piece	
168077	 16.00	  0.00	piece	
168077	100.00	  0.00	serving	
168078	180.00	  0.00	serving	
168078	134.00	236.60		
168079	 67.00	  0.00	serving 4 pieces in serving	
168079	 16.00	  0.00	piece	
168080	601.00	  0.00	order	
168081	706.00	  0.00	order	
168081	 55.00	  0.00	3x pieces	
168082	609.00	  0.00	order	
168082	 42.00	  0.00	3x pieces	
168083	604.00	  0.00	order	
168084	777.00	  0.00	order	
168084	195.00	236.60		
168085	525.00	  0.00	serving	
168086	537.00	  0.00	serving	
168087	547.00	  0.00	order	
168088	 20.00	 14.79		
168088	  6.70	  4.93		
168089	113.00	236.60	shredded	
168089	 18.00	 16.39		
168090	 31.50	 29.58		
168090	126.00	  0.00	bottle NFS	
168091	 31.50	 29.58		
168091	126.00	  0.00	bottle NFS	
168092	138.00	236.60	pieces	
168092	 20.00	 16.39		
168093	 13.40	 14.79		
168093	 26.00	 29.58		
168094	 14.60	 14.79		
168094	231.00	236.60		
168096	 14.00	 14.79		
168096	216.00	236.60		
168097	 30.00	 29.58		
168097	242.00	236.60		
168098	132.00	236.60	diced	
168098	113.00	236.60	shredded	
168098	 17.00	 16.39		
168098	 28.00	  0.00	slice	1 oz
168099	 17.00	 14.79		
168099	264.00	236.60		
168100	 15.00	 14.79		
168100	234.00	236.60		
168101	 28.00	  0.00	slice	
168101	 14.00	 16.39		
168101	 28.00	  0.00	slice, medium	
168101	 43.00	  0.00	slice, thick	
168101	 14.00	  0.00	slice, thin	
168102	 51.00	  0.00	2x cookie 2011 label	
168103	186.00	236.60		
168104	174.00	236.60		
168105	174.00	236.60		
168107	  4.20	 16.39		
168108	 37.00	  0.00	serving 1.31 oz bag	
168108	 42.00	  0.00	serving about 1/4 cup	
168108	195.00	236.60		
168108	  3.40	  0.00	piece	
168109	 17.00	 14.79		
168109	269.00	236.60		
168110	 85.00	  0.00	3x oz, boneless	
168110	 17.00	 16.39	boneless	
168112	 14.50	 14.79		
