#  g  ml cal prot fat carb fiber
# Oils
    5     5     0   0.00   0.00   0.00   0.00 rice vinegar
    5     5     0   0.00   0.00   0.00   0.00 wine vinegar
    5     5     0   0.00   0.00   0.00   0.00 red vinegar
    5     5     0   0.00   0.00   0.00   0.00 red wine vinegar
    5     5     0   0.00   0.00   0.00   0.00 white vinegar
    5     5     0   0.00   0.00   0.00   0.00 white wine vinegar
  239   240   210   0.00   0.00  41.00   0.00 balsamic vinegar
  239   240   210   0.00   0.00  41.00   0.00 balsamic
  250   240   165  10.00   8.00  20.00   8.00 mustard
  300   240   198  12.00   9.00  23.00  10.00 dijon mustard
  275   240   184   0.00   0.00  54.00   0.00 worcestershire
  275   240   184   0.00   0.00  54.00   0.00 worcestershire sauce
# Fruit & Vegetables
   -5     0     5   0.00   0.00   1.00   0.00 garlic clove
  136   240   203   9.00   1.00  45.00   3.00 garlic
  136   240   181   9.00   1.00  45.00   5.00 minced garlic
 -151     0    72   0.00   0.00  19.00   3.00 apple
  128   120   110   0.00   0.00  27.00   1.00 applesauce
 -118   188   105   1.00   0.00  27.00   3.00 banana
  225   240   200   2.00   1.00  51.00   6.00 banana mash
  146   240    83   1.00   0.00  21.00   4.00 blueberries
  123   240    64   1.00   1.00  15.00   8.00 raspberries
  144   240    62   2.00   1.00  14.00   8.00 blackberries
   50   120    25   0.00   0.00   6.00   2.00 cranberries
  159   240   110   1.00   0.00  29.00   1.00 grapes
  -75   102    46   1.00   0.00  11.00   2.00 kiwi
   -6     0     2   0.00   0.00   1.00   0.00 small strawberry
  -13     0     4   0.00   0.00   1.00   0.00 medium strawberry
  -19     0     6   0.00   0.00   1.00   0.00 large strawberry
  -28     0     9   0.00   0.00   2.00   1.00 extra large strawberry
  144   240    46   1.00   0.00  11.00   3.00 strawberries
  166   240    53   1.00   0.00  13.00   3.00 sliced strawberries
  231   240    74   2.00   1.00  18.00   5.00 pureed strawberries
  -43     0     6   0.00   0.00   1.00   1.00 celery stalk
  100   240    14   1.00   0.00   3.00   2.00 chopped celery
  100   240    14   1.00   0.00   3.00   2.00 sliced celery
  -10     0     4   0.00   0.00   1.00   0.00 baby carrot
  -49     0    20   0.00   0.00   5.00   1.00 small carrot
  -61     0    25   1.00   0.00   6.00   2.00 medium carrot
  -73     0    30   1.00   0.00   7.00   2.00 large carrot
  110   240    45   1.00   0.00  11.00   3.00 grated carrots
  122   240    50   1.00   0.00  12.00   3.00 sliced carrots
  127   240    52   1.00   0.00  12.00   4.00 chopped carrots
   71   240    20   2.00   0.00   4.00   0.00 broccoli
   71   240    20   2.00   0.00   4.00   0.00 broccoli flowers
   91   240    31   3.00   0.00   6.00   3.00 chopped broccoli
   -6     0     1   0.00   0.00   0.00   0.00 grape tomato
  -17     0     3   0.00   0.00   1.00   0.00 cherry tomato
  -61     0    11   1.00   0.00   3.00   1.00 plum tomato
  -89     0    16   1.00   0.00   4.00   1.00 small tomato
 -122     0    22   1.00   0.00   5.00   2.00 medium tomato
 -183     0    33   2.00   0.00   7.00   2.00 large tomato
  -61     0    11   1.00   0.00   2.00   1.00 italian tomato
 -122     0    22   1.00   0.00   5.00   2.00 tomato
  -22     0     4   0.00   0.00   1.00   0.00 tomato slice
  178   240    32   2.00   0.00   7.00   2.00 chopped tomatoes
  121   120    45   2.00   0.00   9.00   3.00 crushed tomatoes
  260   240    90   3.00   1.00  18.00   4.00 tomato sauce
   16    15    13   1.00   0.00   3.00   1.00 tomato paste
   54   240   139   8.00   2.00  30.00   7.00 dried tomatoes
  150   240    27   1.00   0.00   6.00   2.00 cherry tomatoes
