fdc_id	kcal	prot	fat	carb	fiber	alc	atwater	desc
167659	0.00	0.00	0.00	0.00	0.00	0.00		Restaurant, Latino, chicken and rice, entree, prepared
167660	0.00	0.00	0.00	0.00	0.00	0.00		Restaurant, Latino, empanadas, beef, prepared
167661	0.00	0.00	0.00	0.00	0.00	0.00		Restaurant, Latino, pupusas con frijoles (pupusas, bean)
167662	0.00	0.00	0.00	0.00	0.00	0.00		Restaurant, Latino, pupusas con queso (pupusas, cheese)
167663	0.00	0.00	0.00	0.00	0.00	0.00		Restaurant, Latino, pupusas del cerdo (pupusas, pork)
167664	0.00	0.00	0.00	0.00	0.00	0.00		Restaurant, Latino, tamale, corn
167665	0.00	0.00	0.00	0.00	0.00	0.00		Restaurant, Mexican, spanish rice
167666	0.00	0.00	0.00	0.00	0.00	0.00		Restaurant, Mexican, refried beans
167667	0.00	0.00	0.00	0.00	0.00	0.00		Restaurant, Chinese, egg rolls, assorted
167668	0.00	0.00	0.00	0.00	0.00	0.00		Restaurant, Chinese, fried rice, without meat
167669	0.00	0.00	0.00	0.00	0.00	0.00		CRACKER BARREL, steak fries
167670	0.00	0.00	0.00	0.00	0.00	0.00		CRACKER BARREL, grilled sirloin steak
167671	0.00	0.00	0.00	0.00	0.00	0.00		CRACKER BARREL, macaroni n' cheese plate, from kid's menu
167672	0.00	0.00	0.00	0.00	0.00	0.00		DENNY'S, french fries
167673	0.00	0.00	0.00	0.00	0.00	0.00		DENNY'S, top sirloin steak
167674	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Restaurant, Chinese, lemon chicken
167675	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Restaurant, Chinese, general tso's chicken
167676	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Restaurant, Chinese, kung pao chicken
167677	0.00	0.00	0.00	0.00	0.00	0.00		Restaurant, Chinese, vegetable lo mein, without meat
167678	0.00	0.00	0.00	0.00	0.00	0.00		Restaurant, Chinese, chicken and vegetables
167679	0.00	0.00	0.00	0.00	0.00	0.00		Restaurant, Chinese, orange chicken
167680	0.00	0.00	0.00	0.00	0.00	0.00		Restaurant, Italian, spaghetti with meat sauce
167681	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,2.47	Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame
167682	0.00	0.00	0.00	0.00	0.00	0.00		Pectin, liquid
167683	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated
167684	0.00	0.00	0.00	0.00	0.00	0.00		Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie
167685	0.00	0.00	0.00	0.00	0.00	0.00		Bologna, beef and pork, low fat
167686	0.00	0.00	0.00	0.00	0.00	0.00		Milk dessert, frozen, milk-fat free, chocolate
167687	0.00	0.00	0.00	0.00	0.00	0.00		Whipped topping, frozen, low fat
167688	0.00	0.00	0.00	0.00	0.00	0.00		Cream substitute, powdered, light
167689	0.00	0.00	0.00	0.00	0.00	0.00		Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies
167690	0.00	0.00	0.00	0.00	0.00	0.00		Babyfood, apple yogurt dessert, strained
167691	0.00	0.00	0.00	0.00	0.00	0.00		Vegetable oil-butter spread, reduced calorie
167692	0.00	0.00	0.00	0.00	0.00	0.00		Salad dressing, blue or roquefort cheese dressing, light
167693	0.00	0.00	0.00	0.00	0.00	0.00		Salad dressing, french dressing, reduced calorie
167694	0.00	0.00	0.00	0.00	0.00	0.00	4.27,9.02,3.87	Sausage, turkey and pork, fresh, bulk, patty or link, cooked
167695	0.00	0.00	0.00	0.00	0.00	0.00		Mayonnaise, made with tofu
167696	0.00	0.00	0.00	0.00	0.00	0.00		Frankfurter, beef, low fat
167697	0.00	0.00	0.00	0.00	0.00	0.00		Milk, buttermilk, fluid, cultured, reduced fat
167698	0.00	0.00	0.00	0.00	0.00	0.00	4.27,9.02,3.87	Pork sausage rice links, brown and serve, cooked
167699	0.00	0.00	0.00	0.00	0.00	0.00	4.03,8.84,3.80	Salad dressing, blue or roquefort cheese dressing, fat-free
167700	0.00	0.00	0.00	0.00	0.00	0.00		Salad Dressing, mayonnaise-like, fat-free
167701	0.00	0.00	0.00	0.00	0.00	0.00		Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar
167702	0.00	0.00	0.00	0.00	0.00	0.00	,8.84,8.84	Oil, flaxseed, cold pressed
167703	0.00	0.00	0.00	0.00	0.00	0.00		Cheese, cottage, lowfat, 1% milkfat, lactose reduced
167704	0.00	0.00	0.00	0.00	0.00	0.00		Salad dressing, bacon and tomato
167705	0.00	0.00	0.00	0.00	0.00	0.00		Cheese, parmesan, low sodium
167706	0.00	0.00	0.00	0.00	0.00	0.00		Jams, preserves, marmalade, reduced sugar
167707	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,2.47	Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie
167708	0.00	0.00	0.00	0.00	0.00	0.00		Tomato and vegetable juice, low sodium
167709	0.00	0.00	0.00	0.00	0.00	0.00		Turkey, wing, smoked, cooked, with skin, bone removed
167710	0.00	0.00	0.00	0.00	0.00	0.00		Turkey, drumstick, smoked, cooked, with skin, bone removed
167711	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Beverages, Chocolate-flavored drink, whey and milk based
167712	0.00	0.00	0.00	0.00	0.00	0.00	4.27,9.02,3.87	Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium
167713	0.00	0.00	0.00	0.00	0.00	0.00		Turkey, light or dark meat, smoked, cooked, skin and bone removed
167714	0.00	0.00	0.00	0.00	0.00	0.00		Hearts of palm, raw
167715	0.00	0.00	0.00	0.00	0.00	0.00		Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size
167716	0.00	0.00	0.00	0.00	0.00	0.00		Cheese, cottage, lowfat, 1% milkfat, with vegetables
167717	0.00	0.00	0.00	0.00	0.00	0.00		Yeast extract spread
167718	0.00	0.00	0.00	0.00	0.00	0.00		Babyfood, juice, pear
167719	0.00	0.00	0.00	0.00	0.00	0.00		Chicken, meatless, breaded, fried
167720	0.00	0.00	0.00	0.00	0.00	0.00		Babyfood, meat, beef with vegetables, toddler
167721	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Frozen novelties, juice type, juice with cream
167722	0.00	0.00	0.00	0.00	0.00	0.00		Tofu yogurt
167723	0.00	0.00	0.00	0.00	0.00	0.00		Alcoholic beverage, rice (sake)
167724	0.00	0.00	0.00	0.00	0.00	0.00		Millet, puffed
167725	0.00	0.00	0.00	0.00	0.00	0.00		Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY
167726	0.00	0.00	0.00	0.00	0.00	0.00		Babyfood, mixed fruit yogurt, strained
167727	0.00	0.00	0.00	0.00	0.00	0.00		Beverages, ABBOTT, ENSURE PLUS, ready-to-drink
